charge,atom
-0.128019,C
-0.229629,O
-0.105736,C
0.32268,C
-0.372605,C
-0.402087,O
0.769269,C
-0.558634,O
-0.458736,C
0.201764,C
-0.426832,C
0.71613,C
-0.538434,O
-0.256601,O
-0.208001,C
0.298381,C
-0.38308,C
-0.382778,O
0.708522,C
-0.547003,O
-0.299947,C
0.133696,C
-0.41292,C
0.728699,C
-0.550039,O
-0.271239,O
-0.213456,C
0.329653,C
-0.413464,C
-0.395415,O
0.720233,C
-0.554487,O
-0.339903,C
0.121162,C
-0.288513,C
0.678323,C
-0.532534,C
-0.528252,O
0.086985,H
0.086985,H
0.086985,H
0.086068,H
0.086068,H
0.030848,H
0.108725,H
0.108725,H
0.108725,H
0.135173,H
0.135173,H
0.011552,H
0.011552,H
0.127953,H
0.127953,H
0.13751,H
0.13751,H
0.057371,H
0.116584,H
0.116584,H
0.116584,H
0.098259,H
0.098259,H
0.019847,H
0.019847,H
0.124807,H
0.124807,H
0.140759,H
0.140759,H
0.061145,H
0.122201,H
0.122201,H
0.122201,H
0.111031,H
0.111031,H
0.015558,H
0.015558,H
0.08045,H
0.08045,H
0.146349,H
0.146349,H
0.146349,H
