charge,atom
-0.028125,C
-0.296757,O
-0.003499,C
0.089843,C
-0.331852,O
0.049638,C
0.070005,C
-0.30439,O
-0.023791,C
0.086878,C
-0.0496,C
-0.274631,O
-0.058391,C
-0.336004,O
0.725606,C
-0.552679,O
-0.126718,C
-0.287747,O
-0.134265,C
0.703822,C
-0.53506,O
-0.335405,O
-0.033988,C
0.04615,C
0.048807,C
-0.343625,O
0.099006,C
0.070832,C
-0.329426,O
0.036982,C
0.030852,C
-0.30436,O
-0.052762,C
-0.315493,O
0.661716,C
-0.521867,O
-0.059781,C
-0.311792,O
-0.124344,C
0.698893,C
-0.533547,O
-0.291588,O
-0.106069,C
0.114819,C
0.095586,C
-0.389221,O
0.176236,C
-0.015207,C
-0.285559,O
0.025077,C
0.037834,C
-0.302652,O
-0.034918,C
-0.324002,O
0.662057,C
-0.535866,O
-0.088865,C
-0.313535,O
-0.032858,C
0.59233,C
-0.397216,C
-0.506901,O
0.060904,H
0.060904,H
0.060904,H
0.069787,H
0.069787,H
0.048713,H
0.048713,H
0.052205,H
0.052205,H
0.054751,H
0.054751,H
0.086994,H
0.086994,H
0.102024,H
0.093765,H
0.093765,H
0.070294,H
0.070294,H
0.070294,H
0.11251,H
0.11251,H
0.112083,H
0.112083,H
0.11703,H
0.11703,H
0.12916,H
0.072382,H
0.072382,H
0.044674,H
0.044674,H
0.049123,H
0.049123,H
0.066088,H
0.066088,H
0.064665,H
0.064665,H
0.067445,H
0.067445,H
0.067445,H
0.082784,H
0.082784,H
0.103918,H
0.103918,H
0.126603,H
0.126603,H
0.10568,H
0.057552,H
0.057552,H
0.032155,H
0.032155,H
0.064634,H
0.064634,H
0.060323,H
0.060323,H
0.062233,H
0.062233,H
0.063791,H
0.063791,H
0.063791,H
0.111842,H
0.111842,H
0.072239,H
0.072239,H
0.116371,H
0.116371,H
0.116371,H
