charge,atom
-0.251151,C
0.018546,C
0.148603,C
-0.391826,O
0.083768,C
0.156842,C
-0.41071,O
0.110187,C
0.088441,C
-0.372108,O
0.097768,C
0.0969,C
-0.365898,O
0.083146,C
0.112724,C
-0.38096,O
0.049403,C
0.025785,C
-0.159111,C
0.17022,C
-0.373639,O
0.086076,C
0.091192,C
-0.378976,O
0.15312,C
0.05587,C
-0.364259,O
0.066932,C
0.072807,C
-0.334304,O
0.091492,C
0.028267,C
-0.323882,O
0.081519,C
-0.05292,C
-0.118205,C
0.135047,C
-0.371288,O
0.092326,C
0.086483,C
-0.369612,O
0.109525,C
0.111278,C
-0.397894,O
0.136682,C
0.145773,C
-0.406741,O
0.117334,C
0.146316,C
-0.392256,O
0.077707,C
0.082067,C
-0.306734,C
0.06284,H
0.06284,H
0.06284,H
0.033815,H
0.033815,H
0.018229,H
0.018229,H
0.041313,H
0.041313,H
0.036748,H
0.036748,H
0.047059,H
0.047059,H
0.043547,H
0.043547,H
0.041872,H
0.041872,H
0.048253,H
0.048253,H
0.043241,H
0.043241,H
0.041935,H
0.041935,H
0.046742,H
0.046742,H
0.030369,H
0.030369,H
0.057169,H
0.057169,H
0.015716,H
0.015716,H
0.0437,H
0.0437,H
0.043789,H
0.043789,H
0.034892,H
0.034892,H
0.055144,H
0.055144,H
0.052236,H
0.052236,H
0.048517,H
0.048517,H
0.047719,H
0.047719,H
0.052585,H
0.052585,H
0.037944,H
0.037944,H
0.040615,H
0.040615,H
0.051975,H
0.051975,H
0.031499,H
0.031499,H
0.044548,H
0.044548,H
0.044531,H
0.044531,H
0.038914,H
0.038914,H
0.041493,H
0.041493,H
0.033783,H
0.033783,H
0.032519,H
0.032519,H
0.039238,H
0.039238,H
0.031284,H
0.031284,H
0.035211,H
0.035211,H
0.01597,H
0.01597,H
0.078525,H
0.078525,H
0.078525,H
