charge,atom
-0.304234,C
0.286382,C
-0.385668,O
0.109768,C
-0.07164,C
-0.024914,C
0.023478,C
-0.340228,O
0.161664,C
-0.052449,C
-0.288548,S
-0.090993,C
0.045172,C
-0.321896,S
0.047581,C
-0.37619,O
0.23614,C
-0.214932,C
0.024809,C
0.102815,C
-0.354119,O
0.106678,C
-0.043664,C
-0.31277,S
-0.047446,C
0.139834,C
-0.354276,S
0.043717,C
-0.332274,O
0.077185,C
-0.125475,C
0.05947,C
-0.044008,C
-0.28828,O
0.071465,C
0.009038,C
-0.332919,S
0.086792,C
-0.134936,C
-0.225611,S
-0.217684,C
0.080498,H
0.080498,H
0.080498,H
-0.007786,H
-0.007786,H
0.023057,H
0.023057,H
0.039779,H
0.039779,H
0.036557,H
0.036557,H
0.051779,H
0.051779,H
0.02614,H
0.02614,H
0.079746,H
0.079746,H
0.105966,H
0.105966,H
0.084348,H
0.084348,H
0.112795,H
0.112795,H
0.012209,H
0.012209,H
0.074142,H
0.074142,H
0.017403,H
0.017403,H
0.027403,H
0.027403,H
0.045208,H
0.045208,H
0.086922,H
0.086922,H
0.093904,H
0.093904,H
0.047485,H
0.047485,H
0.117811,H
0.117811,H
0.049364,H
0.049364,H
0.054515,H
0.054515,H
0.013596,H
0.013596,H
0.061343,H
0.061343,H
0.043111,H
0.043111,H
0.071986,H
0.071986,H
0.063531,H
0.063531,H
0.110554,H
0.110554,H
0.108645,H
0.108645,H
0.108645,H
