charge,atom
-0.237631,C
0.061972,C
-0.093203,C
-0.112999,C
0.057277,C
-0.367209,C
0.727724,C
-0.564673,O
-0.375974,O
0.158584,C
-0.17647,C
-0.092305,C
0.062901,C
-0.353186,C
0.72911,C
-0.55833,O
-0.374812,O
0.126017,C
-0.167639,C
-0.014626,C
0.024509,C
-0.422464,C
0.748592,C
-0.552395,O
-0.324124,O
-0.098477,C
0.060463,H
0.060463,H
0.060463,H
0.008565,H
0.008565,H
0.040411,H
0.040411,H
0.05185,H
0.05185,H
0.026059,H
0.026059,H
0.110886,H
0.110886,H
0.044647,H
0.044647,H
0.07308,H
0.07308,H
0.04904,H
0.04904,H
0.02527,H
0.02527,H
0.109426,H
0.109426,H
0.052207,H
0.052207,H
0.068378,H
0.068378,H
0.036365,H
0.036365,H
0.031659,H
0.031659,H
0.127675,H
0.127675,H
0.099136,H
0.099136,H
0.099136,H
