charge,atom
-0.291042,C
0.033685,C
0.159079,C
0.024144,C
-0.386236,O
0.944526,C
-0.614101,O
-0.415269,O
0.070422,C
0.136682,C
0.011032,C
-0.390376,O
0.948154,C
-0.605095,O
-0.42401,O
0.046121,C
0.140729,C
0.196388,C
-0.494136,O
0.97661,C
-0.613,O
-0.392136,O
0.022155,C
-0.303668,O
-0.025122,C
-0.239187,O
-0.136308,C
-0.300277,O
-0.034613,C
-0.246096,O
-0.09422,C
-0.317807,O
-0.042519,C
-0.282203,O
-0.052962,C
0.082616,H
0.082616,H
0.082616,H
0.043735,H
0.043735,H
0.102032,H
0.102032,H
0.096981,H
0.096981,H
0.111971,H
0.111971,H
0.100307,H
0.100307,H
0.072127,H
0.072127,H
0.069494,H
0.069494,H
0.069494,H
0.071934,H
0.071934,H
0.071934,H
0.10027,H
0.10027,H
0.10027,H
0.077458,H
0.077458,H
0.077458,H
0.089411,H
0.089411,H
0.089411,H
0.076684,H
0.076684,H
0.076684,H
0.077583,H
0.077583,H
0.077583,H
