charge,atom
-0.220089,C
0.05414,C
0.081074,C
-0.391317,O
0.926811,C
-0.599763,O
-0.442827,O
0.203673,C
0.122122,C
-0.430483,O
0.922733,C
-0.584265,O
-0.400501,O
0.077227,C
0.134406,C
-0.420384,O
0.935378,C
-0.595095,O
-0.402942,O
0.102207,C
0.076581,C
-0.408533,O
0.94172,C
-0.588494,O
-0.437405,O
0.136166,C
0.151292,C
-0.408826,O
0.910321,C
-0.597989,O
-0.404882,O
0.178027,C
0.096385,C
-0.443513,O
0.949914,C
-0.599835,O
-0.37538,O
-0.031781,C
0.061793,H
0.061793,H
0.061793,H
0.021183,H
0.021183,H
0.050984,H
0.050984,H
0.036368,H
0.036368,H
0.060241,H
0.060241,H
0.076438,H
0.076438,H
0.059432,H
0.059432,H
0.067118,H
0.067118,H
0.078622,H
0.078622,H
0.057743,H
0.057743,H
0.050113,H
0.050113,H
0.043352,H
0.043352,H
0.069951,H
0.069951,H
0.08522,H
0.08522,H
0.08522,H
