charge,atom
-0.336918,C
0.321034,C
-0.404151,O
0.105085,C
0.12814,C
-0.384021,O
0.128444,C
0.10838,C
-0.386158,O
0.220856,C
-0.404306,O
0.169748,C
0.041653,C
-0.333079,O
0.058216,C
0.092812,C
-0.376169,O
0.196967,C
-0.362641,O
0.10315,C
0.06836,C
-0.365669,O
0.121563,C
0.105563,C
-0.341607,O
-0.006316,C
0.088554,H
0.088554,H
0.088554,H
-0.016672,H
-0.016672,H
0.037009,H
0.037009,H
0.03652,H
0.03652,H
0.032909,H
0.032909,H
0.047951,H
0.047951,H
0.061827,H
0.061827,H
0.035593,H
0.035593,H
0.05733,H
0.05733,H
0.054794,H
0.054794,H
0.056766,H
0.056766,H
0.071725,H
0.071725,H
0.050192,H
0.050192,H
0.051905,H
0.051905,H
0.035225,H
0.035225,H
0.036215,H
0.036215,H
0.055607,H
0.055607,H
0.055607,H
