charge,atom
-0.295298,C
0.100168,C
-0.162436,C
0.368989,C
0.015366,C
-0.440162,O
0.977135,C
-0.607627,O
-0.461384,O
0.25093,C
-0.196858,C
0.115263,C
-0.293788,C
-0.061404,C
-0.359258,O
0.953267,C
-0.604476,O
-0.49958,O
0.263088,C
-0.025163,C
-0.25125,C
-0.256598,C
0.241522,C
-0.357785,C
-0.56681,O
0.957997,C
-0.606555,O
-0.357411,O
-0.02792,C
0.075102,H
0.075102,H
0.075102,H
0.012603,H
0.012603,H
0.06906,H
0.06906,H
0.017242,H
0.087463,H
0.087463,H
0.042039,H
0.083499,H
0.083499,H
0.011554,H
0.011554,H
0.075248,H
0.075248,H
0.075248,H
0.101261,H
0.101261,H
0.03606,H
0.044615,H
0.044615,H
0.069274,H
0.069274,H
0.069274,H
0.074785,H
0.074785,H
-0.020901,H
-0.020901,H
0.084699,H
0.084699,H
0.084699,H
0.083948,H
0.083948,H
0.083948,H
