charge,atom
-0.326138,C
0.328051,C
-0.420319,O
0.153726,C
0.066762,C
-0.375455,O
0.115705,C
0.044877,C
-0.305078,O
-0.003493,C
0.120157,C
-0.379722,O
0.215614,C
-0.151009,C
-0.262815,S
-0.041537,C
0.00912,C
-0.299241,S
-0.104311,C
0.072533,C
-0.336081,S
0.133232,C
-0.330486,O
0.057438,C
0.046367,C
-0.30418,O
0.020118,C
0.155047,C
-0.384943,O
0.151095,C
0.073831,C
-0.387852,O
0.214771,C
-0.147328,C
-0.302308,S
0.016786,C
0.078336,C
-0.351305,S
0.041894,C
-0.009781,C
-0.329752,S
0.126845,C
-0.386807,O
0.162151,C
0.018064,C
-0.29893,O
0.066738,C
0.029087,C
-0.337991,O
0.099187,C
0.038834,C
-0.34151,O
0.101255,C
-0.027862,C
-0.336775,S
0.039662,C
0.032574,C
-0.349643,S
0.09698,C
-0.052238,C
-0.268937,S
-0.202217,C
0.08556,H
0.08556,H
0.08556,H
-0.01632,H
-0.01632,H
0.026662,H
0.026662,H
0.052378,H
0.052378,H
0.042593,H
0.042593,H
0.054303,H
0.054303,H
0.064104,H
0.064104,H
0.036282,H
0.036282,H
0.026147,H
0.026147,H
0.109445,H
0.109445,H
0.089398,H
0.089398,H
0.072302,H
0.072302,H
0.110097,H
0.110097,H
0.072301,H
0.072301,H
0.083681,H
0.083681,H
0.05634,H
0.05634,H
0.057533,H
0.057533,H
0.05433,H
0.05433,H
0.02719,H
0.02719,H
0.029357,H
0.029357,H
0.043406,H
0.043406,H
0.030386,H
0.030386,H
0.110181,H
0.110181,H
0.080263,H
0.080263,H
0.040792,H
0.040792,H
0.0756,H
0.0756,H
0.09061,H
0.09061,H
0.10374,H
0.10374,H
0.029167,H
0.029167,H
0.057182,H
0.057182,H
0.050189,H
0.050189,H
0.060517,H
0.060517,H
0.041956,H
0.041956,H
0.055415,H
0.055415,H
0.052004,H
0.052004,H
0.08034,H
0.08034,H
0.071386,H
0.071386,H
0.059937,H
0.059937,H
0.058367,H
0.058367,H
0.086343,H
0.086343,H
0.106909,H
0.106909,H
0.106909,H
