charge,atom
-0.334754,C
0.310958,C
-0.410893,O
0.105937,C
0.130161,C
-0.37706,O
0.122916,C
0.014154,C
-0.306902,O
0.087164,C
0.098026,C
-0.376584,O
0.164765,C
-0.049107,C
-0.312608,S
-0.047509,C
0.150553,C
-0.383422,O
0.135366,C
0.0049,C
-0.291838,O
0.038533,C
-0.013432,C
-0.320685,S
0.088988,C
-0.390951,O
0.211707,C
-0.037642,C
-0.304827,O
0.059734,C
0.086314,C
-0.33068,O
0.057382,C
0.152649,C
-0.414512,O
0.241907,C
-0.062662,C
-0.325771,S
-0.03181,C
0.208542,C
-0.371233,O
0.063652,C
0.070811,C
-0.359961,O
0.11791,C
0.020067,C
-0.34118,S
0.091337,C
-0.31322,O
0.059715,C
0.082857,C
-0.344969,O
0.058314,C
0.071705,C
-0.340855,O
0.085423,C
-0.008486,C
-0.303714,O
0.069639,C
0.057523,C
-0.310564,S
-0.076465,C
0.164285,C
-0.359783,O
0.073524,C
0.101293,C
-0.362131,O
0.178842,C
-0.160551,C
-0.239431,S
-0.150566,C
0.086474,H
0.086474,H
0.086474,H
-0.00696,H
-0.00696,H
0.033062,H
0.033062,H
0.034865,H
0.034865,H
0.035935,H
0.035935,H
0.057508,H
0.057508,H
0.035588,H
0.035588,H
0.043825,H
0.043825,H
0.029419,H
0.029419,H
0.081965,H
0.081965,H
0.089529,H
0.089529,H
0.038527,H
0.038527,H
0.035194,H
0.035194,H
0.061422,H
0.061422,H
0.068168,H
0.068168,H
0.080445,H
0.080445,H
0.103209,H
0.103209,H
0.027479,H
0.027479,H
0.077855,H
0.077855,H
0.047434,H
0.047434,H
0.044716,H
0.044716,H
0.047654,H
0.047654,H
0.021729,H
0.021729,H
0.013525,H
0.013525,H
0.087488,H
0.087488,H
0.076369,H
0.076369,H
0.018324,H
0.018324,H
0.054435,H
0.054435,H
0.044811,H
0.044811,H
0.044149,H
0.044149,H
0.079651,H
0.079651,H
0.097267,H
0.097267,H
0.057814,H
0.057814,H
0.050469,H
0.050469,H
0.060303,H
0.060303,H
0.049351,H
0.049351,H
0.055716,H
0.055716,H
0.069444,H
0.069444,H
0.041493,H
0.041493,H
0.05486,H
0.05486,H
0.094598,H
0.094598,H
0.028462,H
0.028462,H
0.043733,H
0.043733,H
0.040555,H
0.040555,H
0.035356,H
0.035356,H
0.107445,H
0.107445,H
0.093804,H
0.093804,H
0.093804,H
