charge,atom
-0.03115,C
-0.329526,O
0.102913,C
-0.136437,C
0.022058,C
-0.160408,C
0.16777,C
-0.416013,O
0.818799,C
-0.557296,O
-0.666178,C
0.819869,C
-0.553851,O
-0.399959,O
0.114737,C
-0.10695,C
-0.021576,C
-0.101771,C
0.109479,C
-0.39533,O
0.830222,C
-0.550634,O
-0.688645,C
0.831117,C
-0.556039,O
-0.410062,O
0.151329,C
-0.201265,C
0.07203,C
-0.156726,C
0.102146,C
-0.385218,O
0.777486,C
-0.557811,O
-0.558088,C
0.720987,C
-0.529444,C
-0.512665,O
0.065095,H
0.065095,H
0.065095,H
0.036897,H
0.036897,H
0.054903,H
0.054903,H
0.024625,H
0.024625,H
0.067018,H
0.067018,H
0.045121,H
0.045121,H
0.211809,H
0.211809,H
0.056908,H
0.056908,H
0.055185,H
0.055185,H
0.032474,H
0.032474,H
0.052359,H
0.052359,H
0.054961,H
0.054961,H
0.212115,H
0.212115,H
0.049507,H
0.049507,H
0.077031,H
0.077031,H
0.018072,H
0.018072,H
0.063569,H
0.063569,H
0.064709,H
0.064709,H
0.171029,H
0.171029,H
0.150077,H
0.150077,H
0.150077,H
