charge,atom
-0.227998,C
-0.085174,C
0.380247,C
-0.42369,C
-0.422163,O
-0.047013,C
0.46278,C
-0.489156,C
-0.422029,O
0.007999,C
0.464039,C
-0.444449,C
-0.465972,O
0.027303,C
0.45263,C
-0.448716,C
-0.412194,O
-0.044445,C
0.45682,C
-0.457823,C
-0.426647,O
0.004917,C
0.39702,C
-0.41652,C
-0.409827,O
0.041317,C
0.061682,H
0.061682,H
0.061682,H
0.050868,H
0.050868,H
-0.005768,H
0.10841,H
0.10841,H
0.10841,H
0.065611,H
0.065611,H
0.001777,H
0.121962,H
0.121962,H
0.121962,H
0.045423,H
0.045423,H
-0.015301,H
0.112813,H
0.112813,H
0.112813,H
0.047117,H
0.047117,H
-0.005083,H
0.112468,H
0.112468,H
0.112468,H
0.054273,H
0.054273,H
-0.01977,H
0.116596,H
0.116596,H
0.116596,H
0.051695,H
0.051695,H
0.008312,H
0.105547,H
0.105547,H
0.105547,H
0.045389,H
0.045389,H
0.045389,H
