charge,atom
-0.426916,C
0.261172,C
-0.289057,O
0.17923,C
-0.395587,C
0.228595,C
-0.237545,O
0.150468,C
0.174078,C
-0.221839,O
0.183085,C
-0.283377,C
0.115392,C
-0.321758,O
0.325198,C
-0.421689,C
0.240895,C
-0.240885,O
0.198209,C
0.12879,C
-0.217317,O
0.205583,C
-0.382224,C
0.197089,C
-0.329558,O
0.235558,C
-0.357238,C
0.215863,C
-0.22496,O
0.096853,C
0.194889,C
-0.277986,O
0.047072,C
0.296793,C
-0.39444,O
0.312447,C
-0.427741,O
-0.379697,C
0.164855,C
-0.321438,O
0.270099,C
-0.40627,C
0.305673,C
-0.403587,O
0.286575,C
-0.399205,O
-0.332153,C
0.092761,C
-0.242975,O
0.19803,C
-0.373933,C
0.283133,C
-0.409485,O
0.324726,C
-0.423564,O
0.126981,C
-0.306043,O
0.31677,C
-0.425072,C
-0.3625,C
0.150011,C
-0.330836,C
0.119295,H
0.119295,H
0.119295,H
0.025499,H
0.025499,H
0.202285,H
0.152651,H
0.010696,H
0.010696,H
0.119921,H
0.119921,H
0.119921,H
0.208965,H
0.033966,H
0.033966,H
0.105105,H
0.105105,H
0.105105,H
0.06579,H
0.06579,H
0.06579,H
0.232045,H
0.02735,H
0.02735,H
0.116492,H
0.116492,H
0.116492,H
0.20207,H
0.032297,H
0.032297,H
0.114611,H
0.114611,H
0.114611,H
0.006772,H
0.006772,H
0.119215,H
0.119215,H
0.119215,H
0.193539,H
0.104666,H
0.104666,H
0.104666,H
