charge,atom
-0.280807,C
0.072454,C
-0.222586,C
-0.062155,C
-0.145101,C
0.025658,C
-0.101776,C
0.046978,C
-0.337368,O
0.771973,C
-0.565534,O
-0.420361,C
-0.045651,C
-0.153342,C
-0.046076,C
-0.008986,C
-0.114978,C
0.075705,C
-0.357578,O
0.778806,C
-0.563721,O
-0.435915,C
-0.036241,C
-0.127211,C
-0.050761,C
-0.020718,C
-0.125,C
0.130928,C
-0.415779,O
0.816435,C
-0.54719,C
-0.579474,O
0.234479,C
-0.219294,C
-0.130563,C
-0.151636,C
-0.114953,C
-0.231349,C
0.228203,C
-0.19993,C
-0.132587,C
-0.150335,C
-0.105554,C
-0.255554,C
0.271234,C
-0.253352,C
-0.101279,C
-0.169295,C
-0.104069,C
-0.240519,C
0.071157,H
0.071157,H
0.071157,H
0.02219,H
0.02219,H
0.095031,H
0.045218,H
0.045218,H
0.052068,H
0.052068,H
0.021109,H
0.021109,H
0.04912,H
0.04912,H
0.066879,H
0.066879,H
0.124634,H
0.124634,H
0.07629,H
0.060785,H
0.060785,H
0.033019,H
0.033019,H
0.028048,H
0.028048,H
0.056614,H
0.056614,H
0.058112,H
0.058112,H
0.12973,H
0.12973,H
0.055846,H
0.058446,H
0.058446,H
0.032621,H
0.032621,H
0.030042,H
0.030042,H
0.059024,H
0.059024,H
0.049355,H
0.049355,H
0.156102,H
0.156102,H
0.156102,H
0.142613,H
0.130906,H
0.129101,H
0.133685,H
0.138017,H
0.133645,H
0.130005,H
0.129888,H
0.129791,H
0.145138,H
0.133979,H
0.128755,H
0.130014,H
0.125063,H
0.148157,H
