charge,atom
-0.249993,C
0.081437,C
0.08191,C
-0.325891,O
0.028005,C
0.18305,C
-0.460694,O
0.84698,Si
-0.654693,C
-0.446371,O
0.155751,C
-0.058018,C
-0.238347,O
-0.09504,C
0.156016,C
-0.458416,O
0.840279,Si
-0.721642,C
-0.428486,O
0.120725,C
-0.018228,C
-0.249689,O
-0.001647,C
0.079899,C
-0.412516,O
0.800942,Si
-0.742501,C
-0.428864,O
0.039862,C
-0.041054,C
-0.132643,C
-0.123829,C
-0.122933,C
-0.123744,C
-0.138242,C
-0.053943,C
-0.11697,C
-0.136784,C
-0.12428,C
-0.127136,C
-0.128701,C
-0.079559,C
-0.10726,C
-0.14639,C
-0.115665,C
-0.13954,C
-0.109747,C
0.060577,H
0.060577,H
0.060577,H
0.009783,H
0.009783,H
0.030798,H
0.030798,H
0.049123,H
0.049123,H
0.010539,H
0.010539,H
0.148005,H
0.148005,H
0.148005,H
0.026913,H
0.026913,H
0.076157,H
0.076157,H
0.086925,H
0.086925,H
0.0404,H
0.0404,H
0.164813,H
0.164813,H
0.164813,H
0.035904,H
0.035904,H
0.068528,H
0.068528,H
0.055828,H
0.055828,H
0.050627,H
0.050627,H
0.174608,H
0.174608,H
0.174608,H
0.046195,H
0.046195,H
0.046195,H
0.112739,H
0.11687,H
0.12444,H
0.121855,H
0.114605,H
0.104497,H
0.127327,H
0.125863,H
0.121177,H
0.113321,H
0.110505,H
0.129111,H
0.124164,H
0.122674,H
0.109807,H
