charge,atom
-0.259378,C
0.094446,C
-0.038977,C
-0.27101,O
0.035701,C
0.154715,C
-0.486517,O
0.991534,Si
-0.691356,C
-0.450287,C
0.262112,C
-0.336597,C
-0.486163,O
0.136916,C
-0.058782,C
-0.234955,O
-0.066674,C
0.176235,C
-0.495188,O
0.947041,Si
-0.657535,C
-0.377372,C
0.192533,C
-0.310304,C
-0.462791,O
0.053598,C
-0.079635,C
-0.19323,O
-0.094208,C
0.126306,C
-0.474577,O
0.987229,Si
-0.681717,C
-0.488968,C
0.278847,C
-0.311438,C
-0.460658,O
0.008531,C
0.06562,H
0.06562,H
0.06562,H
0.013237,H
0.013237,H
0.061414,H
0.061414,H
0.046271,H
0.046271,H
0.021648,H
0.021648,H
0.157617,H
0.157617,H
0.157617,H
0.091884,H
0.091884,H
-0.030338,H
-0.030338,H
0.076298,H
0.076298,H
0.076298,H
0.033788,H
0.033788,H
0.080221,H
0.080221,H
0.07654,H
0.07654,H
0.026762,H
0.026762,H
0.145165,H
0.145165,H
0.145165,H
0.080263,H
0.080263,H
-0.015258,H
-0.015258,H
0.07189,H
0.07189,H
0.07189,H
0.06743,H
0.06743,H
0.083392,H
0.083392,H
0.085024,H
0.085024,H
0.040244,H
0.040244,H
0.152177,H
0.152177,H
0.152177,H
0.101715,H
0.101715,H
-0.035974,H
-0.035974,H
0.069866,H
0.069866,H
0.069866,H
0.05005,H
0.05005,H
0.05005,H
