charge,atom
-0.263838,C
0.078357,C
0.029182,C
-0.301404,O
0.013718,C
0.182898,C
-0.525873,O
1.161257,Si
-0.76512,C
-0.71711,C
-0.529652,O
0.171285,C
-0.045433,C
-0.240712,O
-0.038214,C
0.150666,C
-0.523115,O
1.148604,Si
-0.71164,C
-0.709541,C
-0.544529,O
0.195458,C
-0.058597,C
-0.234057,O
-0.05168,C
0.165069,C
-0.507845,O
1.125228,Si
-0.718544,C
-0.72548,C
-0.498651,O
0.054048,C
0.068058,H
0.068058,H
0.068058,H
0.009838,H
0.009838,H
0.046276,H
0.046276,H
0.055361,H
0.055361,H
0.015606,H
0.015606,H
0.170423,H
0.170423,H
0.170423,H
0.15549,H
0.15549,H
0.15549,H
0.025865,H
0.025865,H
0.071863,H
0.071863,H
0.070577,H
0.070577,H
0.032837,H
0.032837,H
0.154851,H
0.154851,H
0.154851,H
0.154306,H
0.154306,H
0.154306,H
0.024078,H
0.024078,H
0.074175,H
0.074175,H
0.070701,H
0.070701,H
0.028918,H
0.028918,H
0.158176,H
0.158176,H
0.158176,H
0.160268,H
0.160268,H
0.160268,H
0.039453,H
0.039453,H
0.039453,H
